Designator,Mid X,Mid Y,Rotation,Layer
C1,111.75,-91.0375,90.0,top
C10,106.0625,-69.25,180.0,top
C2,113.25,-69.25,90.0,top
C3,72.0,-82.0,0.0,top
C4,109.5,-92.0375,90.0,top
C5,87.5,-71.25,90.0,top
C6,89.5,-71.75,90.0,top
C7,110.25,-69.4625,270.0,top
C8,76.25,-73.0,90.0,top
C9,73.75,-70.275,90.0,top
D1,94.0,-85.0,90.0,top
D2,76.25,-69.25,270.0,top
J1,67.75,-68.25,90.0,top
J2,64.8,-78.25,270.0,top
J3,67.8,-88.5,90.0,top
R1,107.0,-92.0,270.0,top
R4,72.0,-75.0,0.0,top
R5,72.0,-79.75,0.0,top
SW1,115.25,-91.25,270.0,top
SW2,116.05,-69.2,270.0,top
U1,105.2,-80.25,270.0,top
U2,81.75,-71.75,180.0,top
U3,72.0,-77.5,0.0,top
